"seqnames"	"start"	"end"	"width"	"strand"	"CLL1_0d_CD4"	"CLL1_3d_CD4"	"CLL2_0d_CD4"	"CLL2_3d_CD4"	"CLL2_8d_CD4"	"CLL2_30d_CD4"	"CLL2_120d_CD4"	"CLL4_0d_CD4"	"CLL4_2d_CD4"	"CLL4_3d_CD4"	"CLL5_0d_CD4"	"CLL5_1d_CD4"	"CLL5_2d_CD4"	"CLL5_3d_CD4"	"CLL5_8d_CD4"	"CLL5_30d_CD4"	"CLL5_150d_CD4"	"CLL5_240d_CD4"	"CLL6_30d_CD4"	"CLL6_120d_CD4"	"CLL6_280d_CD4"	"CLL7_0d_CD4"	"CLL7_1d_CD4"	"CLL7_3d_CD4"	"CLL7_8d_CD4"	"CLL7_30d_CD4"	"CLL7_150d_CD4"	"CLL8_0d_CD4"	"CLL8_3d_CD4"	"consensusIDs"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"	"0"	"3"	"8"	"30"	"120"
"26"	"chr1"	1370739	1371314	576	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	"consensus_36"	"Promoter"	1	1370903	1378262	7360	1	"64856"	"uc001afr.3"	0	"ENSG00000179403"	"VWA1"	"von Willebrand factor A domain containing 1"	0.166666666666667	0.8	0.666666666666667	0.75	0.666666666666667
"37"	"chr1"	1608941	1610109	1169	"*"	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	"consensus_48"	"Promoter"	1	1601214	1608285	7072	2	"728661"	"uc021oeu.1"	-656	"ENSG00000189339"	"SLC35E2B"	"solute carrier family 35 member E2B"	0.166666666666667	0.7	0.666666666666667	0.25	0.833333333333333
"98"	"chr1"	8002312	8002862	551	"*"	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	"consensus_125"	"Promoter"	1	7975931	8003225	27295	2	"3604"	"uc001aot.3"	363	"ENSG00000049249"	"TNFRSF9"	"TNF receptor superfamily member 9"	0	0.7	0.666666666666667	0.75	0.833333333333333
"154"	"chr1"	15250367	15251095	729	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	"consensus_191"	"Promoter"	1	15250625	15394651	144027	1	"23254"	"uc001avo.2"	0	"ENSG00000189337"	"KAZN"	"kazrin, periplakin interacting protein"	0.166666666666667	0.7	0.666666666666667	0.75	0.5
"180"	"chr1"	19210627	19211010	384	"*"	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_229"	"Promoter"	1	19209696	19209769	74	2	"100616120"	"uc021ohm.2"	-858	"ENSG00000265606"	"MIR4695"	"microRNA 4695"	0.166666666666667	0.7	1	0.75	0.666666666666667
"207"	"chr1"	21606461	21607109	649	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	"consensus_261"	"Promoter"	1	21543740	21606183	62444	2	"1889"	"uc001bej.2"	-278	"ENSG00000117298"	"ECE1"	"endothelin converting enzyme 1"	0.166666666666667	0.7	1	0.75	0.666666666666667
"279"	"chr1"	26699808	26700133	326	"*"	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	"consensus_353"	"Promoter"	1	26688125	26699266	11142	2	"257101"	"uc009vsj.1"	-542	"ENSG00000176083"	"ZNF683"	"zinc finger protein 683"	0.166666666666667	0.8	1	0.25	0.666666666666667
"350"	"chr1"	32211071	32211560	490	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	"consensus_439"	"Promoter"	1	32192718	32210332	17615	2	"576"	"uc010ogo.2"	-739	"ENSG00000121753"	"ADGRB2"	"adhesion G protein-coupled receptor B2"	0.166666666666667	0.7	0.666666666666667	0.75	0.833333333333333
"366"	"chr1"	32827110	32828031	922	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	"consensus_461"	"Promoter"	1	32826871	32827844	974	2	"100128071"	"uc021oku.1"	0	"ENSG00000225828"	"FAM229A"	"family with sequence similarity 229 member A"	0.166666666666667	0.7	0.333333333333333	0.5	0.833333333333333
"435"	"chr1"	39546809	39547568	760	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	"consensus_552"	"Promoter"	1	39547089	39568889	21801	1	"23499"	"uc010oir.3"	0	"ENSG00000127603"	"MACF1"	"microtubule actin crosslinking factor 1"	0.166666666666667	0.9	0.666666666666667	0.5	0.5
"502"	"chr1"	44871593	44872351	759	"*"	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	"consensus_638"	"Promoter"	1	44871050	45117396	246347	1	"55182"	"uc001clw.1"	543	"ENSG00000187147"	"RNF220"	"ring finger protein 220"	0.166666666666667	0.7	0.666666666666667	0.5	0.833333333333333
"585"	"chr1"	53792736	53793327	592	"*"	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	"consensus_744"	"Promoter"	1	53708041	53793071	85031	2	"7804"	"uc001cvh.2"	0	"ENSG00000157193"	"LRP8"	"LDL receptor related protein 8"	0.166666666666667	0.7	0.666666666666667	0.5	0.5
"615"	"chr1"	63782618	63783362	745	"*"	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	"consensus_793"	"Promoter"	1	63624754	63782901	158148	2	"199899"	"uc001daw.2"	0	"ENSG00000224209"	"LINC00466"	"long intergenic non-protein coding RNA 466"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
"623"	"chr1"	64970948	64971950	1003	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	"consensus_801"	"Promoter"	1	64971597	65158741	187145	1	"57685"	"uc001dbp.1"	0	"ENSG00000158966"	"CACHD1"	"cache domain containing 1"	0.166666666666667	0.9	0.666666666666667	0.5	0.666666666666667
"663"	"chr1"	78354412	78354864	453	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	"consensus_856"	"Promoter"	1	78354200	78409578	55379	1	"91624"	"uc001dic.4"	212	"ENSG00000162614"	"NEXN"	"nexilin F-actin binding protein"	0.166666666666667	0.7	0.333333333333333	0.75	0.666666666666667
"666"	"chr1"	78511319	78512214	896	"*"	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	"consensus_860"	"Promoter"	1	78511589	78603112	91524	1	"54810"	"uc001dik.3"	0	"ENSG00000137960"	"GIPC2"	"GIPC PDZ domain containing family member 2"	0.166666666666667	0.7	0.333333333333333	0.5	0.333333333333333
"730"	"chr1"	94146334	94147638	1305	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	"consensus_949"	"Promoter"	1	94027343	94146926	119584	2	"8412"	"uc001dpz.4"	0	"ENSG00000137936"	"BCAR3"	"BCAR3 adaptor protein, NSP family member"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
"738"	"chr1"	95007010	95007672	663	"*"	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	"consensus_957"	"Promoter"	1	94994732	95007413	12682	2	"2152"	"uc001dqr.3"	0	"ENSG00000117525"	"F3"	"coagulation factor III, tissue factor"	0.166666666666667	0.7	0.333333333333333	0.25	0.5
