"seqnames"	"start"	"end"	"width"	"strand"	"CLL1_0d_CD4"	"CLL1_3d_CD4"	"CLL2_0d_CD4"	"CLL2_3d_CD4"	"CLL2_8d_CD4"	"CLL2_30d_CD4"	"CLL2_120d_CD4"	"CLL4_0d_CD4"	"CLL4_2d_CD4"	"CLL4_3d_CD4"	"CLL5_0d_CD4"	"CLL5_1d_CD4"	"CLL5_2d_CD4"	"CLL5_3d_CD4"	"CLL5_8d_CD4"	"CLL5_30d_CD4"	"CLL5_150d_CD4"	"CLL5_240d_CD4"	"CLL6_30d_CD4"	"CLL6_120d_CD4"	"CLL6_280d_CD4"	"CLL7_0d_CD4"	"CLL7_1d_CD4"	"CLL7_3d_CD4"	"CLL7_8d_CD4"	"CLL7_30d_CD4"	"CLL7_150d_CD4"	"CLL8_0d_CD4"	"CLL8_3d_CD4"	"consensusIDs"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"	"0"	"3"	"8"	"30"	"120"
"26"	"chr1"	1370739	1371314	576	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	"consensus_36"	"Promoter"	1	1370903	1378262	7360	1	"64856"	"uc001afr.3"	0	"ENSG00000179403"	"VWA1"	"von Willebrand factor A domain containing 1"	0.166666666666667	0.8	0.666666666666667	0.75	0.666666666666667
"98"	"chr1"	8002312	8002862	551	"*"	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	"consensus_125"	"Promoter"	1	7975931	8003225	27295	2	"3604"	"uc001aot.3"	363	"ENSG00000049249"	"TNFRSF9"	"TNF receptor superfamily member 9"	0	0.7	0.666666666666667	0.75	0.833333333333333
"154"	"chr1"	15250367	15251095	729	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	"consensus_191"	"Promoter"	1	15250625	15394651	144027	1	"23254"	"uc001avo.2"	0	"ENSG00000189337"	"KAZN"	"kazrin, periplakin interacting protein"	0.166666666666667	0.7	0.666666666666667	0.75	0.5
"180"	"chr1"	19210627	19211010	384	"*"	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_229"	"Promoter"	1	19209696	19209769	74	2	"100616120"	"uc021ohm.2"	-858	"ENSG00000265606"	"MIR4695"	"microRNA 4695"	0.166666666666667	0.7	1	0.75	0.666666666666667
"207"	"chr1"	21606461	21607109	649	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	"consensus_261"	"Promoter"	1	21543740	21606183	62444	2	"1889"	"uc001bej.2"	-278	"ENSG00000117298"	"ECE1"	"endothelin converting enzyme 1"	0.166666666666667	0.7	1	0.75	0.666666666666667
"221"	"chr1"	22468804	22470002	1199	"*"	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_280"	"Promoter"	1	22443798	22469519	25722	2	"54361"	"uc001bfs.4"	0	"ENSG00000162552"	"WNT4"	"Wnt family member 4"	0.166666666666667	0.6	0.666666666666667	0.75	0.833333333333333
"350"	"chr1"	32211071	32211560	490	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	"consensus_439"	"Promoter"	1	32192718	32210332	17615	2	"576"	"uc010ogo.2"	-739	"ENSG00000121753"	"ADGRB2"	"adhesion G protein-coupled receptor B2"	0.166666666666667	0.7	0.666666666666667	0.75	0.833333333333333
"557"	"chr1"	51983709	51984041	333	"*"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	"consensus_713"	"Promoter"	1	51819935	51984995	165061	2	"2060"	"uc001csq.1"	954	"ENSG00000085832"	"EPS15"	"epidermal growth factor receptor pathway substrate 15"	0.166666666666667	0.2	0.333333333333333	0.75	0
"615"	"chr1"	63782618	63783362	745	"*"	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	"consensus_793"	"Promoter"	1	63624754	63782901	158148	2	"199899"	"uc001daw.2"	0	"ENSG00000224209"	"LINC00466"	"long intergenic non-protein coding RNA 466"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
"663"	"chr1"	78354412	78354864	453	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	"consensus_856"	"Promoter"	1	78354200	78409578	55379	1	"91624"	"uc001dic.4"	212	"ENSG00000162614"	"NEXN"	"nexilin F-actin binding protein"	0.166666666666667	0.7	0.333333333333333	0.75	0.666666666666667
